Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot15,"BanditVeteran",normal,34,Completed,"Anesthesia","Zone prapor_022_area_1","1","04:07:41","04:12:49",
Bot15,"BanditVeteran",normal,34,Completed,"The Cult - Part 2","Zone place_peacemaker_007_2_N3","1","04:12:54","04:14:21",
Bot15,"BanditVeteran",normal,34,Failed,"Colleagues - Part 1","Zone ter_023_area_1_1","1","04:14:26","04:15:12",
Bot18,"DendiFace",hard,42,Completed,"Lend-Lease - Part 1","Item Motor Controller #2","1","04:02:02","04:13:01",
Bot18,"DendiFace",hard,42,Failed,"Lend-Lease - Part 1","Item Motor Controller #3","1","04:13:07","04:14:47",
Bot20,"GoatZilla",easy,5,Completed,"Weather Station","Weather Station: Objective #1","2","04:02:02","04:02:49",
Bot20,"GoatZilla",easy,5,Pending,"Weather Station Sniping","Weather Station Sniping: Objective #1","2","04:02:54","N/A",
Bot20,"GoatZilla",easy,5,Completed,"Weather Station","Weather Station: Objective #2","3","04:05:35","04:06:51",
Bot20,"GoatZilla",easy,5,Active,"Weather Station Shack","Weather Station Shack: Objective #1","1","04:06:56","N/A",
[Not Spawned],"wulvs",easy,41,,,,,,,
[Not Spawned],"Volomon",easy,9,,,,,,,
[Not Spawned],"Платон Перегар (BabyBay)",easy,1,,,,,,,
[Not Spawned],"Ваха Повидлыч (Get-EM-Wiley)",normal,1,,,,,,,
[Not Spawned],"Толян Пузо (VIERcntHOLZ)",hard,1,,,,,,,
[Not Spawned],"Пахан Саранск (imhoom__ttv)",hard,1,,,,,,,
[Not Spawned],"Олежа Буйный (TTV-SHAND0W)",hard,1,,,,,,,
[Not Spawned],"Фома Правильный (FookMeintheArs)",easy,1,,,,,,,
[Not Spawned],"Русик Морковник (Dobby_is_Free_)",easy,1,,,,,,,
[Not Spawned],"Моня Злыдень (Jared_FogleTTV)",easy,1,,,,,,,
[Not Spawned],"Тима Шугаринг (MoonMoon_TTV)",normal,1,,,,,,,
[Not Spawned],"Ильнур ПХП (xemiTTV)",hard,1,,,,,,,
[Not Spawned],"Толян Перец (summit1g)",hard,1,,,,,,,
[Not Spawned],"Руся Глазастый (DrDisconnect)",normal,1,,,,,,,
[Not Spawned],"Шурик Карась (DuendePablo)",hard,1,,,,,,,
[Not Spawned],"Марат Мерс (SamSWAT)",easy,1,,,,,,,
[Not Spawned],"Илья Якут (MakeAWishKid)",normal,1,,,,,,,
[Not Spawned],"Эраст Академик (Alek)",normal,1,,,,,,,
[Not Spawned],"Платон Стамеска (The4skinn)",easy,1,,,,,,,
[Not Spawned],"Вадик Окурок (Shi_Wu_)",normal,1,,,,,,,
[Not Spawned],"Кайл Тридемакс (JeagersScumSlut)",normal,1,,,,,,,
